item_id,source_file,source_sheet,source_row,original_name
RM-000236,A,26.03월,239,Button Indicator
RM-000236,B,조립 자재,286,BUTTON INDICATOR
RM-000237,A,26.03월,240,LCD GUIDE
RM-000237,B,조립 자재,5,LCD GUIDE
RM-000238,A,26.03월,241,발생부_Guide
RM-000238,B,조립 자재,497,발생부 Guide _ 블랙 
RM-000239,A,26.03월,242,Lock Inner
RM-000239,B,조립 자재,494,"Lock Inner _ 블랙
"
RM-000240,A,26.03월,243,Lock Knob
RM-000240,B,조립 자재,487,Lock Knob _ 블랙 샌딩
RM-000241,A,26.03월,244,Front_CAP
RM-000241,B,조립 자재,488,Front_CAP _ 메탈릭 다크 그레이 도색
RM-000242,A,26.03월,245,연장 Cone
RM-000242,B,조립 자재,489,연장 Cone  _ 메탈릭 다크 그레이 도색
RM-000243,A,26.03월,246,Hand Top Cover
RM-000243,B,조립 자재,294,HAND TOP COVER 사출 
RM-000244,A,26.03월,247,Slide Switch
RM-000244,B,조립 자재,492,Slide Switch _ SKY BLUE 무광 도색
RM-000245,A,26.03월,248,Slide Switch Cap
RM-000245,B,조립 자재,493,Slide Switch Cap _ 레드무광 도색
RM-000246,A,26.03월,249,Shot_Button
RM-000246,B,조립 자재,491,Short_Button _ 메탈릭 다크 그레이 도색
RM-000247,A,26.03월,250,Shot_PCB_Guide
RM-000247,B,조립 자재,298,SHOT PCB GUIDE 사출 
RM-000248,A,26.03월,251,Bat_Bottom_Cover
RM-000248,B,조립 자재,485,Bat_Bottom_Cover _ 블랙 샌딩
RM-000249,A,26.03월,252,Aiming_Light_LED_아크릴
RM-000249,B,조립 자재,499,Aiming_Light _LED 확산 아크릴
RM-000250,A,26.03월,253,LCD_Window
RM-000250,B,조립 자재,502,LCD_창 (PC / 투명 )
RM-000251,A,26.03월,254,LCD_LED_확산_아크릴
RM-000251,B,조립 자재,501,LCD_LED 확산 아크릴
RM-000252,A,26.03월,255,광센서_유색_창
RM-000252,B,조립 자재,503,광센서_유색_창 (PC/스모그/퍼플)
RM-000253,A,26.03월,256,BAT_LED_확산_아크릴
RM-000253,B,조립 자재,500,BAT_LED 확산 아크릴
